*CREATOR
msr_cutter.exe,[V5.28.00]
msr2csv.exe,[V5.28.00]

*STARTTIME
6/30/2016,10:34:52 AM,

*MODUL
NAME,MSR308918,MSR308918,MSR308918,MSR308918,MSR308918
*NAME
NAME,FH Logger,FH Logger,FH Logger,FH Logger,FH Logger

ID,[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24],[C26113 V5.24]

*CHANNEL
TIME,p,T_p,RH,T_RH,T

*UNIT
,mbar,°C,%,°C,°C

*LIMITS
ALARM,,,,,
RECRD,,,,,
LIMIT1,,,,,
LIMIT2,,,,,

*DATA
6/30/2016 10:39:15 AM.719,995.2,25.3999996185303,52.4,24.8799991607666,24.4
6/30/2016 10:39:16 AM.719,995.1,25.3999996185303,52.4,24.8799991607666,24.4
6/30/2016 10:39:17 AM.719,995.2,25.3999996185303,52.4,24.8999996185303,24.4
6/30/2016 10:39:18 AM.719,995.2,25.3999996185303,52.4,24.8799991607666,24.4
6/30/2016 10:39:19 AM.719,995.2,25.3999996185303,52.4,24.8899993896484,24.4
6/30/2016 10:39:20 AM.719,995.2,25.3999996185303,52.4,24.8799991607666,24.4
6/30/2016 10:39:21 AM.719,995.2,25.3999996185303,52.4,24.9300003051758,24.4
6/30/2016 10:39:22 AM.719,995.2,25.3999996185303,52.4,24.8999996185303,24.4
6/30/2016 10:39:23 AM.719,995.1,25.3999996185303,52.4,24.8999996185303,24.4
6/30/2016 10:39:24 AM.719,995.1,25.3999996185303,52.3,24.8899993896484,24.4
6/30/2016 10:39:25 AM.719,995.1,25.3999996185303,52.2,24.9200000762939,24.4
6/30/2016 10:39:26 AM.719,995.3,25.3999996185303,52.2,24.8899993896484,24.3
6/30/2016 10:39:27 AM.719,995.2,25.3999996185303,52.2,24.8899993896484,24.3
6/30/2016 10:39:28 AM.719,995.1,25.3999996185303,52.2,24.8899993896484,24.3
6/30/2016 10:39:29 AM.719,995.2,25.3999996185303,52.1,24.8799991607666,24.3
6/30/2016 10:39:30 AM.719,995.2,25.3999996185303,52.0,24.8799991607666,24.3
6/30/2016 10:39:31 AM.719,995.1,25.3999996185303,51.8,24.8600006103516,24.3
6/30/2016 10:39:32 AM.719,995.2,25.2999992370605,51.7,24.8500003814697,24.3
6/30/2016 10:39:33 AM.719,995.1,25.2999992370605,51.7,24.8600006103516,24.3
6/30/2016 10:39:34 AM.719,995.0,25.2999992370605,51.7,24.8700008392334,24.3
6/30/2016 10:39:35 AM.719,995.1,25.2999992370605,51.7,24.8500003814697,24.3
6/30/2016 10:39:36 AM.719,995.1,25.2999992370605,51.7,24.8299999237061,24.3
6/30/2016 10:39:37 AM.719,995.2,25.2999992370605,51.7,24.8500003814697,24.3
